name,ra,dec,major,minor,angle
IC220907A    224.3550     44.7400     91.2     53.4     90.0
IC220918A     75.5750      3.4550     57.9     45.2      0.0
IC220928A    208.0750     10.0400     33.6     28.7      0.0
IC221104A    210.0150     15.1150     32.1     29.8      0.0
IC221124A    298.9250      3.3850     65.6     50.1     90.0
IC221210A    334.6600     24.8300    266.4    192.6     90.0
IC221216A      6.3100     10.3700    100.9     49.8     90.0
IC221223A    350.9800     34.5050     57.9     42.3     90.0
IC221224A    335.9150      1.3850     28.5     26.7     90.0
IC221229A     31.5350      4.3000     35.0     31.2     90.0
IC230112A     24.8000      0.5300     31.2     28.2     90.0
IC230122A     17.7150      8.3400     63.6     41.8      0.0
IC230201A    346.0850     12.0550     33.3     33.2      0.0
IC230217A    123.7900     19.1900     54.0     40.8      0.0
IC230220A    359.3300      3.2900     31.1     28.8     90.0
IC230306A     72.9400     34.6000     32.4     25.2      0.0
IC230401A      7.5850      2.7550     63.8     40.5     90.0
IC230405A    119.2950     10.2950     49.9     46.5     90.0
IC230416A    345.7650      9.2050     32.9     26.1     90.0
IC230506A     50.0350     21.4600     80.1     76.8     90.0
IC230511A     16.6800     36.3350    110.1     74.8      0.0
IC230524A    319.1250      2.8900     57.6     53.6      0.0
IC230603A     66.7650     24.1000    110.4     90.8      0.0
IC230707A    268.9500     -2.1300     22.8     22.2      0.0
IC230707B    128.3250     21.6350    116.7     94.0      0.0
IC230708A    271.2950      8.7300     43.2     34.7      0.0
IC230724A     33.2200     -2.1250     51.0     25.5     90.0
IC230725A    326.0000     12.2650     79.7     49.5     90.0
IC230727A     33.2700      7.4550     28.6     28.5     90.0
IC230914A    164.2800     32.3850     41.1     37.0      0.0
IC231004A    144.4650     24.4100     40.8     37.4      0.0
IC231014A    296.2900      1.2500     96.6     92.4     90.0
IC231027A    267.8350     47.8200    120.6     84.3      0.0
IC231103A    106.2950     48.3150     60.3     53.6      0.0
IC231125A    177.2900     53.6650    142.4     98.1     90.0
IC231202A    138.6650      0.1550     36.9     29.7      0.0
IC231211A    312.3600     10.0000     33.1     28.8     90.0
IC240105A     72.9250     11.3650     30.9     26.7     90.0
IC240123A    357.6500      4.3550     29.3     29.1     90.0
IC240204A    348.5600     10.6100     44.4     31.8      0.0
IC240229A     72.5850     15.6950     68.4     42.3     90.0
IC240307A    239.3350     39.6550    197.7    135.5      0.0
IC240327A     25.3950      7.7350     33.3     28.8      0.0
IC240327B     89.0050      1.5400     37.2     30.9      0.0
IC240412A    102.7250      6.8450     52.1     48.3     90.0
IC240419A     73.1000      1.6500     96.6     39.6     90.0
IC240424A    326.1350      2.6800     68.0     49.8     90.0
IC240721A    354.9550     22.5750     30.9     28.0      0.0
IC240725A     60.8500     48.9400     43.2     35.9      0.0
IC240808A     56.0350     33.1650     52.0     46.5     90.0
IC240929A    180.5900     18.9200     36.9     33.0     90.0
IC241006A     58.4150      8.3400     52.5     28.8     90.0
IC241113A    196.1700      8.5450     41.1     23.7      0.0
IC241127A    164.0650      5.3950     33.9     29.6      0.0
IC241224A    185.0000      2.7600     31.2     21.0      0.0
IC250101A    318.9650     -0.9100     38.1     27.6     90.0
IC250102A    262.9050      6.7650     66.4     47.7     90.0
IC250203A    253.3000     -1.2900     13.8     10.8     90.0
IC250207A    133.0050     20.5950    110.3     80.1     90.0
IC250302A    348.0250      3.7800     25.2     24.2      0.0
IC250309A    211.0650    -10.7500     18.0     16.8     90.0
IC250330A    307.5700     11.0600     15.9     10.2     90.0
IC250406A     81.4750     16.9200     30.7     27.6     90.0
IC250416A     83.0950     15.6450     19.4     14.1     90.0
IC250421A    240.0200     28.6650    177.9     94.5     90.0
IC250426A    296.3850     20.7050     17.1     11.5      0.0
IC250429A     59.6300     25.2950     28.2     24.9     90.0
IC250506A    116.5000     35.3450     11.3      9.9     90.0
IC250706A    265.9900     38.9850     13.5      8.9      0.0
IC250708A    222.6950     26.4900     13.8     12.6      0.0
IC250804A     79.4950     16.6700     29.6     28.2     90.0
IC250813A    275.3150      8.2900     44.8     37.8     90.0
IC250831A    105.6550      5.1000     33.0     29.0      0.0
IC250905A    348.2350     38.8350     48.9     47.4      0.0
IC250926A    130.9700      9.8900     37.8     35.5      0.0
IC251014A      2.8050      2.9050     15.3     13.5      0.0
IC251018A    321.1850     40.7850    179.1    135.9      0.0
IC251025A    145.6300     15.0750     51.0     38.1     90.0
IC251130A    229.7150     -5.5350     23.7     17.0      0.0
IC251210A     35.2850     20.3050     40.5     38.5      0.0
IC251218A    353.6800     44.1550     35.3     27.3     90.0
IC251225A    297.4450     22.4600     28.2     28.0      0.0
IC260111A     70.9550     34.6450     72.4     41.7     90.0
IC260115A    146.0300     12.5450    119.0     62.7     90.0
IC260125A    243.6950      6.6900     36.6     31.9      0.0
