SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0753.9+0923,118.46643829345703,9.405489921569824,1eRASS J075352.2+092419
4FGL_J0754.0+0451,118.523792792,4.87736453611,1eRASS J075405.8+045238
4FGL_J0804.9-0624,121.24057975,-6.40727851667,1eRASS J080457.5-062425
4FGL_J0807.2-7630,121.87516784667969,-76.48655700683594,1eRASS J080730.4-762912
4FGL_J0807.7-1206,121.899995267,-12.1288095417,1eRASS J080735.6-120745
4FGL_J0809.9-7028,122.55016326904297,-70.5130844116211,1eRASS J081012.0-703047
4FGL_J0812.5+0711,123.1576408,7.200205475,1eRASS J081237.8+071205
4FGL_J0813.7-0356,123.408597083,-3.95480706111,1eRASS J081337.7-035717
4FGL_J0816.7-2420,124.168384871,-24.3518251722,1eRASS J081640.7-242105
4FGL_J0820.1-2801,125.091426517,-28.0330784083,1eRASS J082021.9-280156
4FGL_J0820.6-0318,125.12845611572266,-3.2371666431427,1eRASS J082030.6-031413
4FGL_J0821.1+1007,125.228383729,10.1026058333,1eRASS J082054.9+100610
4FGL_J0825.9-3218,126.464052671,-32.3064536806,1eRASS J082551.6-321827
4FGL_J0829.4+4019,127.39823150634766,40.316463470458984,1eRASS J082935.7+401857
4FGL_J0829.6-1140,127.413231362,-11.6843378306,1eRASS J082939.0-114101
4FGL_J0830.1-0946,127.56307983398438,-9.748833656311035,1eRASS J083015.1-094456
4FGL_J0836.0-8015,128.9546661376953,-80.26960754394531,1eRASS J083548.7-801612
4FGL_J0840.1-0225,130.06121826171875,-2.4531822204589844,1eRASS J084014.8-022711
4FGL_J0840.9-7044,130.16012573242188,-70.686279296875,1eRASS J084037.9-704110
4FGL_J0842.3-6053,130.610671154,-60.897333725,1eRASS J084226.3-605351
4FGL_J0845.4+0442,131.3214321,4.66315427778,1eRASS J084516.8+043951
4FGL_J0846.5-2609,131.73590087890625,-26.130739212036133,1eRASS J084656.8-260749
4FGL_J0852.5-5755,133.161357633,-57.9249471028,1eRASS J085238.4-575530
4FGL_J0853.1-3657,133.293812096,-36.9730859667,1eRASS J085310.7-365821
4FGL_J0855.4-0714,133.789476733,-7.25083003333,1eRASS J085509.3-071506
4FGL_J0900.6-7408,134.99708557128906,-74.233642578125,1eRASS J085958.7-741359
4FGL_J0900.7-1243,135.1656898,-12.7090613306,1eRASS J090039.8-124231
4FGL_J0904.5-3513,136.176578162,-35.24009715,1eRASS J090442.2-351425
4FGL_J0904.9-5734,136.221579871,-57.5849395333,1eRASS J090453.4-573505
4FGL_J0906.2-1707,136.590458104,-17.1067798306,1eRASS J090621.7-170628
4FGL_J0907.8-1002,137.0092010498047,-9.993599891662598,1eRASS J090802.1-095936
4FGL_J0912.2-2751,138.131611621,-27.8714494583,1eRASS J091231.8-275212
4FGL_J0914.1-0202,138.534423828125,-1.9958610534667969,1eRASS J091408.2-015947
4FGL_J0915.1-3738,138.77830505371094,-37.60706329345703,1eRASS J091506.8-373631
4FGL_J0919.3-2202,139.8592987060547,-22.01186180114746,1eRASS J091926.0-220038
4FGL_J0920.2-3835,140.05931091308594,-38.58073425292969,1eRASS J092014.2-383451
4FGL_J0921.2-8211,140.4279022216797,-82.1600570678711,1eRASS J092140.2-820936
4FGL_J0922.6+0434,140.613605642,4.560763825,1eRASS J092227.2+043344
4FGL_J0923.5+3852,140.810220563,38.8277528028,1eRASS J092314.4+384943
