name,ra,dec,major,minor,angle
FL16Y J0103.0+4956,15.7659,49.9403,0.1066,0.0606,19.93
FL16Y J0103.5+1526,15.8771,15.4396,0.0413,0.0366,-73.94
FL16Y J0103.5+5337,15.8946,53.621,0.0161,0.0154,-67.3
FL16Y J0103.6-7049,15.9167,-70.824,0.1145,0.0755,67.37
FL16Y J0103.9+1321,15.9772,13.3527,0.0521,0.0409,87.88
FL16Y J0103.9+3514,15.9914,35.2495,0.0712,0.0602,4.38
FL16Y J0104.7-2215,16.1839,-22.2645,0.0767,0.0709,66.82
FL16Y J0104.7-2416,16.1984,-24.2765,0.0599,0.0538,-77.59
FL16Y J0105.2+3928,16.3143,39.4793,0.0243,0.0229,-42.3
FL16Y J0105.9+3402,16.4751,34.0442,0.1671,0.15,18.64
FL16Y J0105.9+1911,16.4885,19.1847,0.0855,0.0747,-65.88
FL16Y J0106.1+1132,16.5479,11.5386,0.0463,0.0393,17.2
FL16Y J0106.4+4855,16.6147,48.9329,0.0139,0.0136,67.2
FL16Y J0106.9-4830,16.7291,-48.5091,0.1158,0.0919,24.84
FL16Y J0107.2-1210,16.8205,-12.1686,0.0772,0.0547,45.35
FL16Y J0107.3+0458,16.8304,4.974,0.0584,0.0556,52.4
FL16Y J0107.4+0334,16.8553,3.576,0.05,0.043,83.69
FL16Y J0107.5+4949,16.8981,49.8327,0.0714,0.0602,26.62
FL16Y J0108.2-0039,17.0655,-0.6535,0.1254,0.0895,73.69
FL16Y J0108.6+0135,17.1612,1.5853,0.01,0.0098,63.73
FL16Y J0108.8-1239,17.2016,-12.6655,0.1116,0.1059,58.48
FL16Y J0109.1+1815,17.2965,18.255,0.0254,0.0245,42.28
FL16Y J0109.2+2400,17.3079,24.0049,0.047,0.0343,46.34
FL16Y J0109.6+6133,17.4091,61.555,0.0261,0.0245,66.14
FL16Y J0109.8-5248,17.4748,-52.8026,0.1082,0.0914,67.82
FL16Y J0110.0-4020,17.5025,-40.3339,0.0298,0.0256,49.13
FL16Y J0110.1+4151,17.5405,41.8604,0.0418,0.0384,67.03
FL16Y J0110.2+6805,17.5605,68.0953,0.012,0.0113,-54.19
FL16Y J0110.3-0427,17.5883,-4.4542,0.1181,0.0981,19.15
FL16Y J0110.5+0414,17.6475,4.245,0.0461,0.0418,-35.33
FL16Y J0110.7-1254,17.6976,-12.9116,0.0234,0.023,53.61
FL16Y J0110.8+4344,17.7198,43.7479,0.0463,0.0452,-29.39
FL16Y J0111.3-7304,17.8383,-73.0745,0.0734,0.0598,-64.91
FL16Y J0111.3+0534,17.8478,5.5827,0.0595,0.0482,-72.39
