ra,dec,name
332.85042,-13.46936,PKS 2208-137
251.907099,-64.633542,PMN J1647-6437
228.70738,-9.81031,PMN J1514-0948
189.5309,-11.99018,TXS 1235-117
181.38833,-26.56792,PKS 1203-26
25.78667,-36.38308,PMN J0143-3623
281.45,-25.35,
239.125,11.2667,
322.76349,-27.78278,RBS 1751
312.52602,4.13024,PKS 2047+039
306.14881,-32.89269,PKS 2021-330
194.06646,-11.77704,PMN J1256-1146
175.53221,15.79839,MG1 J114208+1547
131.05001,53.21377,NVSS J084411+531250
127.37987,-58.93353,PMN J0829-5856
92.31262,-2.79871,NVSS J060915-024754
40.6215,11.01686,OD 166
250.325,-29.1333,
14.85,-56.9,
345.09516,31.61789,NVSS J230022+313703
344.1717,-20.19459,PKS 2254-204
334.71685,-3.59359,PKS 2216-03
315.97097,-35.77247,NVSS J210353-354620
307.738,19.60358,RX J2030.8+1935
305.60917,-45.22528,PMN J2022-4513
217.13588,42.67251,H 1426+428
207.83714,11.24827,RX J1351.3+1115
193.44586,3.44178,MG1 J125348+0326
149.20781,25.25446,OK 290
258.25,-5.35,
323.455,66.78453,NVSS J213349+664706
255.99077,76.76961,NVSS J170357+764611
202.16921,-47.46367,2MASS J13284063-4727496
113.46885,50.36891,TXS 0730+504
76.97779,-61.07864,PMN J0507-6104
34.70832,36.67836,MG3 J021846+3641
352.30956,37.90396,NVSS J232914+375414
317.21592,-66.62298,PKS 2104-668
294.23237,-47.33145,PMN J1936-4719
277.30828,27.48419,87GB 182712.0+272717
254.22975,-20.18228,NVSS J165655-201056
239.4004,-70.6742,PKS 1552-705
208.2355,-44.21122,PKS 1349-439
203.47383,50.95973,CLASS J1333+5057
177.85279,58.98822,TXS 1148+592
166.53025,28.21307,MG2 J110606+2812
160.78765,24.14316,B2 1040+24A
152.56658,-31.31879,1RXS J101015.9-311909
138.04833,41.43592,B3 0908+416B
106.71389,77.69361,NVSS J070651+774137
90.13017,-39.61784,PKS 0558-396
72.15719,-16.5451,RBS 0589
69.7535,-45.37292,PKS 0437-454
54.0,75.0333,4FGL J0336.0+7502
186.475,29.85,
234.41793,-79.96791,PMN J1537-7958
220.22058,6.17116,PMN J1440+0610
215.93146,-78.49303,PKS 1418-782
204.75725,-24.02056,PKS 1336-237
180.76458,60.52197,SBS 1200+608
176.96453,-7.41139,PKS 1145-071
134.52265,-19.84406,PKS 0855-19
130.61028,-60.8974,PMN J0842-6053
107.68182,-38.84362,AT20G J071043-385037
28.16544,1.78763,PMN J0152+0146
56.05,32.05,1RXS J034418.2+320903
260.7,-4.3,
336.99225,0.61819,PMN J2227+0037
218.36858,-83.68569,PMN J1433-8340
159.13743,22.05339,OL 256
99.17847,71.64533,GB6 J0636+7138
53.43572,78.84127,WN B0326.7+7840
51.55811,2.42074,1H 0323+022
37.94157,13.38167,4C +13.14
9.46204,12.63919,NVSS J003750+123818
0.325,-7.77408,PMN J0001-0746
221.27596,-3.43687,RBS 1424
209.95716,-37.7669,PMN J1359-3746
183.76658,16.91054,TXS 1212+171
172.055706,59.42083,TXS 1125+596
72.50849,-44.30571,PMN J0450-4418
67.45797,28.71494,MG2 J042948+2843
334.25342,24.36277,B2 2214+24B
322.8976,-9.25658,RBS 1752
310.5252,24.44787,MG2 J204208+2426
186.21843,3.51397,4C +03.23
74.07212,27.03936,MG2 J045613+2702
342.52467,38.40992,B3 2247+381
342.16119,-32.59783,PKS 2245-328
248.20859,-10.87551,TXS 1630-107
156.85061,74.47391,GB6 J1027+7428
79.79505,8.81576,TXS 0516+087
54.80709,-17.60022,PKS 0336-177
5.89767,44.94328,B3 0020+446
5.53861,-18.89304,1RXS J002209.2-185333
262.6,-3.9833,
353.72429,14.53744,NVSS J233453+143214
268.41078,-50.25347,PMN J1753-5015
219.98697,-15.53071,PKS 1437-153
169.4885,53.9319,NVSS J111757+535553
158.16967,37.64076,B3 1029+378
156.00177,-32.57113,PKS 1021-323
126.45975,3.15678,PKS 0823+033
95.13346,-25.25467,PKS 0618-252
85.12504,58.39401,GB6 J0540+5823
64.21876,1.08997,1ES 0414+009
245.925,-23.25,
