16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J2042.1+2426,4FGL J2042.1+2427,1FLAT J204206.0+242652,MG2 J204208+2426,,,,,,17.2,-11.3,310.5252,24.44787,MG2 J204208+2426,MG2 J204208+2426
FL16Y J2042.2-5324,4FGL J2042.1-5320,1FLAT J204220.4-532643,1eRASS J204220.4-532642,,,,,,17.2,-12.1,310.584918,-53.445297,,
FL16Y J2042.9-5756,,2FLAT J204302.5-575537,,New blazar,P.G.,,,,15.8,-12.6,310.76039,-57.927,,
FL16Y J2042.9+1519,4FGL J2042.7+1519,2FLAT J204259.7+152108,1RXS J204300.2+15211,Confirmed F16Y,P.G.,,,,15.8,-11.6,310.74885,15.35226,,
FL16Y J2043.8+1033,4FGL J2044.0+1036,1FLAT J204351.6+103407,NVSS J204351+103406,,,,,,15.8,-12.1,310.965,10.56864,NVSS J204351+103406,NVSS J204351+103406
FL16Y J2044.2-1648,,2FLAT J204414.7-164947,,New blazar,P.G.,,,Very extreme? check,17.1,-12.4,311.06137,-16.82994,,
FL16Y J2046.7-5409,4FGL J2046.9-5409,1FLAT J204700.7-541245,,,,,,,16.2,-12.5,311.75308,-54.21265,,
FL16Y J2049.3-0039,4FGL J2049.7-0036,1FLAT J204921.7-003926,1RXS J204921.6-003930,,,,,,17.9,-12.0,312.34054,-0.65739,1RXS J204921.6-003930,1RXS J204921.6-003930
FL16Y J2052.7+0810,4FGL J2052.5+0810,1FLAT J205242.6+081040,RX J2052.7+0810,,,,,,17.7,-12.4,313.17755,8.17795,RX J2052.7+0810,RX J2052.7+0810
FL16Y J2055.4-0021,4FGL J2055.4-0020,1FLAT J205528.3-002116,1RXS J205528.2-002123,,,,,,18.0,-11.4,313.86777,-0.35451,1RXS J205528.2-002123,1RXS J205528.2-002123
FL16Y J2057.5-7830,4FGL J2057.6-7829,1FLAT J205751.1-783020,1eRASS J205751.3-783021,,,,,,16.7,-12.4,314.46302,-78.50579,,
FL16Y J2058.8-1442,4FGL J2058.8-1442,1FLAT J205846.8-144307,TXS 2056-149,,,,,,15.8,-11.8,314.69505,-14.71868,TXS 2056-149,TXS 2056-149
FL16Y J2101.3+0914,4FGL J2101.3+0912,1FLAT J210123.9+091324,RX J2101.3+0913,,,,,,16.1,-12.0,315.34942,9.22356,RX J2101.3+0913,RX J2101.3+0913
FL16Y J2104.3-0212,4FGL J2104.3-0212,1FLAT J210422.0-021241,NVSS J210421-021239,,,,,,16.2,-11.8,316.0915,-2.21155,NVSS J210421-021239,NVSS J210421-021239
FL16Y J2104.3+2117,4FGL J2104.4+2116,2FLAT J210415.9+211807,WISEA J210415.92+211808.2,Confirmed F16Y,P.G.,,,Not found in 1FLAT it is a bit outside the error region,15.9,-12.2,316.066375,21.3021942,,
FL16Y J2107.1-1452,4FGL J2107.1-1453,1FLAT J210721.2-145418,NVSS J210721-145421,,,,,,16.6,-12.2,316.83821,-14.90511,,NVSS J210721-145421
